Vernier Format 2
Bandlücke-Ge.cmbl 07.09.2016 14:10:29 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-67,344567157	0,003663	0,046398	-3050,41988867	-0,406173590922
0,5	-67,344567157	0,013431	0,0757021	-3050,41988867	-0,406173590922
1	-67,344567157	0,00610501	0,0537241	-3050,41988867	-0,406173590922
1,5	-67,344567157	0,045177	0,0610501	-3050,41988867	-0,406173590922
2	-67,344567157	0,00732601	0,0744811	-3050,41988867	-0,406173590922
2,5	-67,344567157	0,00610501	0,0769231	-3050,41988867	-0,406173590922
3	-67,344567157	0,00610501	0,043956	-3050,41988867	-0,406173590922
3,5	-67,344567157	0,00610501	0,0634921	-3050,41988867	-0,406173590922
4	-67,344567157	0,0500611	0,0769231	-3050,41988867	-0,406173590922
4,5	-67,344567157	0,00488401	0,0537241	-3050,41988867	-0,406173590922
5	-67,344567157	0,00610501	0,0525031	-3050,41988867	-0,406173590922
5,5	-67,344567157	0,00732601	0,0586081	-3050,41988867	-0,406173590922
6	-67,344567157	0,00488401	0,0732601	-3050,41988867	-0,406173590922
6,5	-67,344567157	0,00610501	0,0634921	-3050,41988867	-0,406173590922
7	-67,344567157	0,00610501	0,0720391	-3050,41988867	-0,406173590922
7,5	-67,344567157	0,00610501	0,0586081	-3050,41988867	-0,406173590922
8	-66,887611552	0,00732601	0,0647131	-3040,16848046	-0,407543202939
8,5	-66,561596442	0,00732601	0,0732601	-3032,73637557	-0,408541939215
9	-66,300249903	0,00488401	0,0512821	-3026,70759067	-0,409355698522
9,5	-66,039437815	0,015873	0,0744811	-3020,62835402	-0,410179556963
10	-65,713422705	0,00854701	0,0744811	-3012,94130554	-0,411226065945
10,5	-65,2564671	0,00610501	0,0610501	-3002,00270753	-0,412724477861
11	-64,929917539	0,00610501	0,0598291	-2994,0687434	-0,413818153886
11,5	-64,408293363	0,010989	0,0671551	-2981,19352811	-0,415605356819
12	-64,146946824	0,00488401	0,0512821	-2974,6497486	-0,416519625742
12,5	-63,624788197	0,020757	0,0695971	-2961,39035353	-0,418384559983
13	-63,363976109	0,00610501	0,0586081	-2954,67526559	-0,419335422214
13,5	-62,841817482	0,00732601	0,0561661	-2941,04748552	-0,421278475136
14	-62,515802372	0,00854701	0,0610501	-2932,41490378	-0,422518654643
14,5	-61,993643745	0,019536	0,0634921	-2918,39093463	-0,424549016137
15	-61,732297206	0,030525	0,0683761	-2911,28068212	-0,425585896822
15,5	-61,471485118	0,00732601	0,0732601	-2904,12458362	-0,426634589642
16	-60,949326491	0,00488401	0,0683761	-2889,61703561	-0,428776541919
16,5	-60,688514403	0,00732601	0,0671551	-2882,28073585	-0,429867911405
17	-60,166355776	0,00488401	0,0634921	-2867,41377997	-0,43209668889
17,5	-59,905543688	0,00488401	0,0781441	-2859,89864891	-0,433232135856
18	-59,318182039	0,00732601	0,047619	-2842,75744151	-0,435844431153
18,5	-59,122038522	0,041514	0,0769231	-2836,96667861	-0,436734068588
19	-58,796023412	0,00854701	0,0573871	-2827,26818207	-0,438232215769
19,5	-58,339067807	0,00488401	0,0793651	-2813,52039189	-0,440373563161
20	-58,013052697	0,019536	0,0732601	-2803,60259096	-0,441931393555
20,5	-57,49089407	0,010989	0,0659341	-2787,5288705	-0,444479701399
21	-57,230081982	0,020757	0,0634921	-2779,41345311	-0,445777506982
21,5	-56,707923355	0,00732601	0,0671551	-2762,99308706	-0,448426746272
22	-56,381373794	0,00732601	0,0671551	-2752,60733866	-0,450118686599
22,5	-55,92495264	0,015873	0,0561661	-2737,94134031	-0,452529782781
