Vernier Format 2
Bandlücke-Ge.cmbl 07.09.2016 13:57:13 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	68,7805301038	0,00610501	0,0793651	3081,36866639	0,402094047854
0,5	68,7805301038	0,00488401	0,043956	3081,36866639	0,402094047854
1	68,7805301038	0,0940171	0,0720391	3081,36866639	0,402094047854
1,5	68,7805301038	0,00488401	0,0793651	3081,36866639	0,402094047854
2	68,5195042354	0,021978	0,0610501	3075,88624668	0,402810735065
2,5	67,9974524986	0,00732601	0,0671551	3064,73000303	0,404277048476
3	67,7364266302	0,00610501	0,043956	3059,05641064	0,405026855892
3,5	67,4754007618	0,00610501	0,0695971	3053,31932779	0,405787887538
4	66,953349025	0,00732601	0,0744811	3041,65516825	0,407344005636
4,5	66,3660408211	0,00732601	0,0622711	3028,23120237	0,409149736992
5	66,1050149527	0,00610501	0,0634921	3022,16277858	0,409971298959
5,5	65,5829632159	0,017094	0,047619	3009,83788401	0,411650078093
6	65,3219373475	0,136752	0,0598291	3003,58166903	0,412507511541
6,5	64,7998856107	0,04884	0,0793651	2990,88235291	0,414259022524
7	64,5388597423	0,003663	0,045177	2984,43951534	0,415153329002
7,5	63,9515515384	0,0549451	0,0708181	2969,71686188	0,417211491069
8	63,4294998016	0,00976801	0,0720391	2956,3680578	0,419095314175
8,5	63,1684739332	0,01221	0,0512821	2949,6015474	0,420056736508
9	62,6464221964	0,00488401	0,0683761	2935,88501206	0,422019253107
9,5	62,385396328	0,039072	0,0610501	2928,93527182	0,423020615007
10	61,8633445912	0,00610501	0,0769231	2914,85356736	0,4250642344
10,5	61,3412928544	0,00488401	0,0573871	2900,52987395	0,427163330097
11	61,080266986	0,00732601	0,0500611	2893,2776522	0,428234047658
11,5	60,5582152492	0,00976801	0,0781441	2878,59321123	0,430418579175
12	60,2971893808	0,021978	0,0561661	2871,16129678	0,43153270469
12,5	59,7098811769	0,0671551	0,0695971	2854,22184766	0,434093797234
13	59,1878294401	0,010989	0,0720391	2838,9127389	0,4364346896
13,5	58,9268035717	0,00610501	0,0634921	2831,16972266	0,437628302565
14	58,4047518349	0,039072	0,0671551	2815,50756999	0,440062748616
14,5	58,0784694994	0,00610501	0,045177	2805,59994446	0,441616775209
15	57,5564177626	0,042735	0,0720391	2789,55863105	0,44415628559
15,5	57,2953918942	0,00488401	0,0683761	2781,4510452	0,445450946238
16	56,7733401574	0,00976801	0,0573871	2765,06285659	0,448091079394
16,5	56,2512884206	0,00610501	0,0708181	2748,44511452	0,450800342875
17	55,9902625522	0,025641	0,0769231	2740,05059133	0,452181431949
17,5	55,4682108154	0,00488401	0,0695971	2723,09111175	0,454997629222
18	54,9461590786	0,00488401	0,0537241	2705,90556317	0,45788737673
18,5	54,6851332102	0,01221	0,0598291	2697,22845814	0,459360420976
19	54,0978250063	0,00610501	0,0671551	2677,50056839	0,462744999806
19,5	53,8367991379	0,0561661	0,0647131	2668,64219035	0,464281050671
20	53,3147474011	0,026862	0,0683761	2650,7594569	0,467413215021
20,5	53,0537215327	0,037851	0,0598291	2641,73547265	0,469009865986
21	52,5316697959	0,041514	0,0659341	2623,52320555	0,472265691182
21,5	51,944361592	0,00610501	0,0659341	2602,77413849	0,476030548206
22	51,6833357236	0,010989	0,03663	2593,46441778	0,477739347996
22,5	51,1612839868	0,0952381	0,0622711	2574,68368926	0,481224161698
23	50,9002581184	0,017094	0,045177	2565,21307124	0,483000813419
23,5	50,3782063816	0,0573871	0,0610501	2546,11231048	0,486624252552
24	49,8561546448	0,0622711	0,0818071	2526,80017338	0,490343483847
