Vernier Format 2
Bandlücke-Ge_Fehler.cmbl 07.09.2016 14:20:07 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	32,5631374182	0,197802	0,269841	1779,10255349	0,69641853842
0,5	32,5631374182	0,246642	0,282051	1779,10255349	0,69641853842
1	32,5631374182	0,258852	0,29304	1779,10255349	0,69641853842
1,5	32,5631374182	0,227106	0,288156	1779,10255349	0,69641853842
2	32,5631374182	0,228327	0,299145	1779,10255349	0,69641853842
2,5	32,5631374182	0,255189	0,294261	1779,10255349	0,69641853842
3	32,5631374182	0,224664	0,273504	1779,10255349	0,69641853842
3,5	32,5631374182	0,212454	0,282051	1779,10255349	0,69641853842
4	32,5631374182	0,251526	0,294261	1779,10255349	0,69641853842
4,5	32,5631374182	0,186813	0,275946	1779,10255349	0,69641853842
5	32,5631374182	0,188034	0,26862	1779,10255349	0,69641853842
5,5	32,5631374182	0,20757	0,282051	1779,10255349	0,69641853842
6	32,5631374182	0,233211	0,279609	1779,10255349	0,69641853842
6,5	32,5631374182	0,2442	0,299145	1779,10255349	0,69641853842
7	32,5631374182	0,213675	0,304029	1779,10255349	0,69641853842
7,5	32,5631374182	0,172161	0,297924	1779,10255349	0,69641853842
8	32,5631374182	0,2442	0,301587	1779,10255349	0,69641853842
8,5	32,5631374182	0,238095	0,302808	1779,10255349	0,69641853842
9	32,5631374182	0,192918	0,289377	1779,10255349	0,69641853842
9,5	32,5631374182	0,234432	0,30525	1779,10255349	0,69641853842
10	32,5631374182	0,260073	0,299145	1779,10255349	0,69641853842
10,5	32,5631374182	0,186813	0,274725	1779,10255349	0,69641853842
11	32,5631374182	0,26862	0,295482	1779,10255349	0,69641853842
11,5	32,5631374182	0,178266	0,274725	1779,10255349	0,69641853842
12	32,5631374182	0,253968	0,297924	1779,10255349	0,69641853842
12,5	32,5631374182	0,15873	0,285714	1779,10255349	0,69641853842
13	32,5631374182	0,184371	0,282051	1779,10255349	0,69641853842
13,5	32,5631374182	0,217338	0,279609	1779,10255349	0,69641853842
14	32,5631374182	0,169719	0,267399	1779,10255349	0,69641853842
14,5	32,5631374182	0,192918	0,279609	1779,10255349	0,69641853842
15	32,5631374182	0,223443	0,267399	1779,10255349	0,69641853842
15,5	32,5631374182	0,242979	0,300366	1779,10255349	0,69641853842
16	32,5631374182	0,197802	0,262515	1779,10255349	0,69641853842
16,5	32,5631374182	0,208791	0,307692	1779,10255349	0,69641853842
17	32,5631374182	0,20757	0,264957	1779,10255349	0,69641853842
17,5	32,5631374182	0,257631	0,299145	1779,10255349	0,69641853842
18	32,5631374182	0,222222	0,301587	1779,10255349	0,69641853842
18,5	32,5631374182	0,202686	0,294261	1779,10255349	0,69641853842
19	32,5631374182	0,210012	0,302808	1779,10255349	0,69641853842
19,5	32,5631374182	0,200244	0,279609	1779,10255349	0,69641853842
20	32,5631374182	0,242979	0,28083	1779,10255349	0,69641853842
20,5	32,5631374182	0,196581	0,28083	1779,10255349	0,69641853842
21	32,5631374182	0,225885	0,274725	1779,10255349	0,69641853842
21,5	32,5631374182	0,246642	0,30525	1779,10255349	0,69641853842
22	32,5631374182	0,217338	0,29304	1779,10255349	0,69641853842
22,5	32,5631374182	0,213675	0,296703	1779,10255349	0,69641853842
23	32,5631374182	0,205128	0,300366	1779,10255349	0,69641853842
23,5	32,5631374182	0,200244	0,291819	1779,10255349	0,69641853842
24	32,5631374182	0,238095	0,300366	1779,10255349	0,69641853842
24,5	32,5631374182	0,262515	0,294261	1779,10255349	0,69641853842
25	32,5631374182	0,155067	0,273504	1779,10255349	0,69641853842
