Vernier Format 2
Bandlücke-Ge_Lampenleistung.cmbl 07.09.2016 14:27:13 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-68,649656905	0,0610501	0,018315	-3078,62787681	-0,402452017449
0,5	-68,649656905	0,108669	0,034188	-3078,62787681	-0,402452017449
1	-68,649656905	0,0866911	0,019536	-3078,62787681	-0,402452017449
1,5	-68,649656905	0,0610501	0,02442	-3078,62787681	-0,402452017449
2	-68,649656905	0,0793651	0,02442	-3078,62787681	-0,402452017449
2,5	-68,649656905	0,030525	0,019536	-3078,62787681	-0,402452017449
3	-68,388844817	0,0683761	0,00732601	-3073,11797724	-0,403173587599
3,5	-68,127498278	0,112332	0,018315	-3067,53291321	-0,403907646651
4	-67,86668619	0,106227	0,018315	-3061,89564322	-0,404651282856
4,5	-67,605339651	0,01221	0,021978	-3056,18318102	-0,405407636457
5	-67,279324541	0,0586081	0,030525	-3048,96808488	-0,406366995491
5,5	-67,083715475	0,0586081	0,015873	-3044,59162905	-0,406951128742
6	-66,757165914	0,117216	0,018315	-3037,20653525	-0,407940647309
6,5	-66,300210309	0,0879121	0,014652	-3026,70667254	-0,409355822697
7	-65,974195199	0,100122	0,019536	-3019,09783015	-0,410387496432
7,5	-65,713383111	0,112332	0,018315	-3012,94036603	-0,411226194176
8	-65,191224484	0,0537241	0,023199	-3000,42533657	-0,412941453632
8,5	-64,929877945	0,0952381	0,023199	-2994,06777551	-0,413818287661
9	-64,408253769	0,0634921	0,013431	-2981,19254143	-0,415605494373
9,5	-64,14690723	0,0952381	0,020757	-2974,64875253	-0,416519765215
10	-63,82089212	0,0927961	0,032967	-2966,39900305	-0,417678133901
10,5	-63,363936515	0,0720391	0,031746	-2954,67424152	-0,419335567553
11	-63,037386954	0,0915751	0,02442	-2946,18031072	-0,420544525226
11,5	-62,515762778	0,0708181	0,032967	-2932,4138496	-0,422518806535
12	-62,254416239	0,0781441	0,023199	-2925,42504968	-0,423528198111
12,5	-61,993604151	0,0818071	0,025641	-2918,38986202	-0,424549172173
13	-61,406242502	0,0989011	0,018315	-2902,32505742	-0,426899115532
13,5	-61,145430414	0,0805861	0,010989	-2895,09375289	-0,427965415201
14	-60,949286897	0,0989011	0,030525	-2889,61592643	-0,428776706506
14,5	-60,42712827	0,0976801	0,025641	-2874,86836818	-0,430976253979
15	-60,10111316	0,0720391	0,014652	-2865,53942272	-0,432379324527
15,5	-59,840301072	0,108669	0,017094	-2858,00945307	-0,433518510119
16	-59,318142445	0,101343	0,018315	-2842,75627593	-0,435844609857
16,5	-59,056795906	0,102564	0,015873	-2835,03314284	-0,437031927873
17	-58,53517173	0,112332	0,01221	-2819,4422708	-0,439448614653
17,5	-58,339028213	0,131868	0,025641	-2813,51919291	-0,440373750825
18	-57,816869586	0,135531	0,030525	-2797,59068069	-0,442881086412
18,5	-57,490854476	0,133089	0,02442	-2787,52764287	-0,444479897148
19	-57,164304915	0,0989011	0,00732601	-2777,3576362	-0,446107474188
19,5	-56,707883761	0,159951	0,017094	-2762,99183322	-0,448426949766
20	-56,3813342	0,225885	0,032967	-2752,60607396	-0,450118893408
20,5	-55,924913046	0,174603	0,018315	-2737,94006051	-0,452529994309
21	-55,598363485	0,179487	0,02442	-2727,34048811	-0,454288712906
21,5	-55,337551397	0,222222	0,025641	-2718,8110568	-0,455713903656
22	-54,81539277	0,192918	0,020757	-2701,56559675	-0,458622956071
22,5	-54,554046231	0,199023	0,013431	-2692,84969568	-0,460107373236
23	-54,032422055	0,210012	0,025641	-2675,2862131	-0,463128017456
