Vernier Format 2
Bandlücke-Ge_Fehler.cmbl 07.09.2016 14:19:12 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	68,7805301038	0,00976801	0,0793651	3081,36866639	0,402094047854
0,5	68,7805301038	0,00854701	0,0573871	3081,36866639	0,402094047854
1	68,7805301038	0,00488401	0,042735	3081,36866639	0,402094047854
1,5	68,7805301038	0,00732601	0,043956	3081,36866639	0,402094047854
2	68,5195042354	0,00488401	0,047619	3075,88624668	0,402810735065
2,5	68,258478367	0,014652	0,0561661	3070,33998718	0,403538372028
3	67,7364266302	0,00610501	0,041514	3059,05641064	0,405026855892
3,5	67,4754007618	0,00732601	0,0683761	3053,31932779	0,405787887538
4	67,0838619592	0,00488401	0,042735	3044,59491969	0,406950688903
4,5	66,6923231566	0,00732601	0,0781441	3035,72833367	0,408139287781
5	66,4312972882	0,00488401	0,047619	3029,73849278	0,408946185603
5,5	65,8439890843	0,013431	0,0805861	3016,03163004	0,410804710288
6	65,5829632159	0,013431	0,0732601	3009,83788401	0,411650078093
6,5	65,0609114791	0,00488401	0,0610501	2997,26311495	0,413377121889
7	64,7998856107	0,00610501	0,0732601	2990,88235291	0,414259022524
7,5	64,2125774068	0,031746	0,0805861	2976,29887851	0,416288837437
8	63,69052567	0,003663	0,0598291	2963,07320902	0,418146941571
8,5	63,4294998016	0,039072	0,0647131	2956,3680578	0,419095314175
9	63,1032174661	0,00488401	0,0659341	2947,90034885	0,4202991463
9,5	62,6464221964	0,017094	0,0720391	2935,88501206	0,422019253107
10	62,1243704596	0,00488401	0,0586081	2921,92474175	0,424035562004
10,5	61,8633445912	0,00976801	0,0622711	2914,85356736	0,4250642344
11	61,3412928544	0,026862	0,0586081	2900,52987395	0,427163330097
11,5	61,080266986	0,00488401	0,0634921	2893,2776522	0,428234047658
12	60,5582152492	0,00732601	0,047619	2878,59321123	0,430418579175
12,5	60,2319329137	0,00732601	0,0818071	2869,29400106	0,431813540035
13	59,7098811769	0,00488401	0,0830281	2854,22184766	0,434093797234
13,5	59,4488553085	0,00488401	0,0586081	2846,59683372	0,435256579127
14	58,9268035717	0,00488401	0,0842491	2831,16972266	0,437628302565
14,5	58,6657777033	0,00854701	0,0622711	2823,36794571	0,43883759532
15	58,1437259665	0,00610501	0,0500611	2807,58875864	0,441303946737
15,5	57,8827000981	0,025641	0,0708181	2799,611676	0,442561377573
16	57,2953918942	0,003663	0,037851	2781,4510452	0,445450946238
16,5	57,0343660258	0,01221	0,0647131	2773,28573056	0,44676247613
17	56,512314289	0,00610501	0,0695971	2756,78259396	0,449436964204
17,5	56,2512884206	0,039072	0,0720391	2748,44511452	0,450800342875
18	55,7292366838	0,030525	0,0781441	2731,5991986	0,453580452299
18,5	55,4029543483	0,015873	0,0573871	2720,95525224	0,455354787249
19	54,9461590786	0,00732601	0,0708181	2705,90556317	0,45788737673
19,5	54,3588508747	0,00488401	0,0561661	2686,30337511	0,461228620519
20	54,1630814734	0,00732601	0,0634921	2679,70648704	0,462364070839
20,5	53,5757732695	0,026862	0,0854701	2659,72842485	0,465837033745
21	53,3147474011	0,00488401	0,043956	2650,7594569	0,467413215021
21,5	52,7926956643	0,00610501	0,047619	2632,65665939	0,470627263749
22	52,5316697959	0,021978	0,0647131	2623,52320555	0,472265691182
22,5	52,0096180591	0,014652	0,0537241	2605,0931355	0,475606796208
23	51,5528227894	0,01221	0,0561661	2588,78936012	0,478602090647
23,5	51,1612839868	0,019536	0,0647131	2574,68368926	0,481224161698
24	50,63923225	0,010989	0,046398	2555,68921242	0,484800731629
