Vernier Format 2
Bandlücke-Si.cmbl 07.09.2016 11:35:41 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-67,997666279	0,288156	0,133089	-1531,44807529	-0,809038203772
0,5	-67,997666279	0,358974	0,144078	-1531,44807529	-0,809038203772
1	-67,997666279	0,300366	0,152625	-1531,44807529	-0,809038203772
1,5	-67,997666279	0,296703	0,148962	-1531,44807529	-0,809038203772
2	-67,997666279	0,362637	0,151404	-1531,44807529	-0,809038203772
2,5	-67,73631974	0,322344	0,169719	-1528,60950443	-0,810540557552
3	-67,41030463	0,336996	0,159951	-1525,02397137	-0,812446245607
3,5	-67,214161113	0,391941	0,141636	-1522,84297709	-0,813609819685
4	-66,627333915	0,39072	0,172161	-1516,21135486	-0,81716839544
4,5	-66,431190398	0,371184	0,174603	-1513,95927447	-0,818383969038
5	-66,105175288	0,413919	0,164835	-1510,17679403	-0,820433743189
5,5	-65,648219683	0,466422	0,181929	-1504,79285401	-0,823369141275
6	-65,2564671	0,448107	0,163614	-1500,10093303	-0,825944423282
6,5	-65,060858034	0,440781	0,152625	-1497,73190868	-0,827250853654
7	-64,734842924	0,474969	0,162393	-1493,74475544	-0,829458979179
7,5	-64,212684297	0,432234	0,15873	-1487,25806868	-0,833076670482
8	-63,951337758	0,446886	0,145299	-1483,96498768	-0,834925358947
8,5	-63,755728692	0,514042	0,156288	-1481,48002112	-0,836325824401
9	-63,429713582	0,517705	0,156288	-1477,3000525	-0,838692178954
9,5	-62,907554955	0,47619	0,152625	-1470,5056569	-0,842567312941
10	-62,581005394	0,525031	0,151404	-1466,19444351	-0,845044806631
10,5	-62,12458424	0,554335	0,157509	-1460,08885023	-0,848578495618
11	-61,798034679	0,539683	0,147741	-1455,66368136	-0,851158145842
11,5	-61,602425613	0,577534	0,145299	-1452,99027108	-0,852724223043
12	-61,015063964	0,538462	0,161172	-1444,86108754	-0,857521882679
12,5	-60,754251876	0,599512	0,151404	-1441,20267224	-0,859698655757
13	-60,166890227	0,611722	0,142857	-1432,85450271	-0,864707475639
13,5	-59,97074671	0,595849	0,137973	-1430,03313347	-0,866413491411
14	-59,709934622	0,59707	0,125763	-1426,25560561	-0,868708242146
14,5	-59,187775995	0,612943	0,111111	-1418,60407672	-0,87339379629
15	-58,926963907	0,610501	0,126984	-1414,73806592	-0,875780492409
15,5	-58,665617368	0,623932	0,114774	-1410,83472815	-0,878203502706
16	-58,078255719	0,62149	0,108669	-1401,95520183	-0,883765756836
16,5	-57,882646653	0,632479	0,113553	-1398,9653033	-0,885654559894
17	-57,556631543	0,638584	0,119658	-1393,9459215	-0,888843663798
17,5	-57,099675938	0,663004	0,103785	-1386,83463467	-0,893401396985
18	-56,707923355	0,681319	0,10989	-1380,66781135	-0,89739181997
18,5	-56,512314289	0,653236	0,120879	-1377,56442757	-0,899413468582
19	-55,92495264	0,708181	0,1221	-1368,149452	-0,905602818603
19,5	-55,729343574	0,71917	0,115995	-1364,98201859	-0,907704265054
20	-55,141981925	0,700855	0,1221	-1355,37560344	-0,914137746653
20,5	-54,881169837	0,766789	0,120879	-1351,06424397	-0,91705483698
21	-54,619823298	0,837607	0,130647	-1346,71596837	-0,92001582301
21,5	-54,097664671	0,842491	0,145299	-1337,94448416	-0,926047391856
22	-53,836852583	0,833944	0,125763	-1333,52157177	-0,929118828091
22,5	-53,314693956	0,896215	0,133089	-1324,58373916	-0,935388200359
23	-52,988678846	0,857143	0,14652	-1318,94747811	-0,939385396736
23,5	-52,792535329	0,873016	0,126984	-1315,53589556	-0,941821507249
