Vernier Format 2
Bandlücke-Si_Fehler.cmbl 07.09.2016 12:05:12 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-43,330704744	1,20513	0,973138	-1133,44254187	-1,0931299596
0,5	-43,395907766	1,22222	0,964591	-1134,8091114	-1,09181358129
1	-43,395907766	1,22222	0,959707	-1134,8091114	-1,09181358129
1,5	-43,395907766	1,1978	0,953602	-1134,8091114	-1,09181358129
2	-43,395907766	1,23077	0,953602	-1134,8091114	-1,09181358129
2,5	-43,395907766	1,19658	0,956044	-1134,8091114	-1,09181358129
3	-43,395907766	1,18437	0,958486	-1134,8091114	-1,09181358129
3,5	-43,395907766	1,18315	0,945055	-1134,8091114	-1,09181358129
4	-43,330704744	1,20879	0,968254	-1133,44254187	-1,0931299596
4,5	-43,395907766	1,18559	0,970696	-1134,8091114	-1,09181358129
5	-43,330704744	1,20024	0,947497	-1133,44254187	-1,0931299596
5,5	-43,395907766	1,22955	0,959707	-1134,8091114	-1,09181358129
6	-43,330704744	1,24908	0,969475	-1133,44254187	-1,0931299596
6,5	-43,395907766	1,18926	0,96337	-1134,8091114	-1,09181358129
7	-43,330704744	1,23932	0,971917	-1133,44254187	-1,0931299596
7,5	-43,395907766	1,22955	0,993895	-1134,8091114	-1,09181358129
8	-43,330704744	1,23565	0,968254	-1133,44254187	-1,0931299596
8,5	-43,395907766	1,25153	0,978022	-1134,8091114	-1,09181358129
9	-43,395907766	1,25641	0,993895	-1134,8091114	-1,09181358129
9,5	-43,395907766	1,1917	0,971917	-1134,8091114	-1,09181358129
10	-43,330704744	1,25153	0,979243	-1133,44254187	-1,0931299596
10,5	-43,395907766	1,1917	0,962149	-1134,8091114	-1,09181358129
11	-43,330704744	1,19292	0,958486	-1133,44254187	-1,0931299596
11,5	-43,395907766	1,21734	0,967033	-1134,8091114	-1,09181358129
12	-43,395907766	1,21856	0,982906	-1134,8091114	-1,09181358129
12,5	-43,395907766	1,24298	0,95116	-1134,8091114	-1,09181358129
13	-43,395907766	1,23565	0,970696	-1134,8091114	-1,09181358129
13,5	-43,395907766	1,19658	0,96337	-1134,8091114	-1,09181358129
14	-43,330704744	1,20635	0,948718	-1133,44254187	-1,0931299596
14,5	-43,395907766	1,2442	0,965812	-1134,8091114	-1,09181358129
15	-43,395907766	1,2381	0,981685	-1134,8091114	-1,09181358129
15,5	-43,395907766	1,19536	0,948718	-1134,8091114	-1,09181358129
16	-43,330704744	1,22222	0,945055	-1133,44254187	-1,0931299596
16,5	-43,395907766	1,23199	0,958486	-1134,8091114	-1,09181358129
17	-43,330704744	1,1746	0,965812	-1133,44254187	-1,0931299596
17,5	-43,395907766	1,20147	0,956044	-1134,8091114	-1,09181358129
18	-43,330704744	1,18437	0,949939	-1133,44254187	-1,0931299596
18,5	-43,395907766	1,21368	0,978022	-1134,8091114	-1,09181358129
19	-43,330704744	1,20024	0,982906	-1133,44254187	-1,0931299596
19,5	-43,395907766	1,1917	0,968254	-1134,8091114	-1,09181358129
20	-43,330704744	1,20635	0,96337	-1133,44254187	-1,0931299596
20,5	-43,395907766	1,22344	0,949939	-1134,8091114	-1,09181358129
21	-43,395907766	1,21245	0,953602	-1134,8091114	-1,09181358129
21,5	-43,395907766	1,22711	0,979243	-1134,8091114	-1,09181358129
22	-43,395907766	1,20879	0,967033	-1134,8091114	-1,09181358129
22,5	-43,395907766	1,25763	0,973138	-1134,8091114	-1,09181358129
23	-43,330704744	1,24176	0,973138	-1133,44254187	-1,0931299596
23,5	-43,395907766	1,18681	0,953602	-1134,8091114	-1,09181358129
