Vernier Format 2
Bandlücke-Si_Fehler.cmbl 07.09.2016 12:08:56 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-39,415316718	0,669109	3,58608	-1048,7554776	-1,1814002658
0,5	-39,415316718	0,648352	3,58974	-1048,7554776	-1,1814002658
1	-39,415316718	0,687424	3,61294	-1048,7554776	-1,1814002658
1,5	-39,415316718	0,632479	3,62027	-1048,7554776	-1,1814002658
2	-39,350113696	0,669109	3,62027	-1047,30261014	-1,18303915985
2,5	-39,415316718	0,59707	3,62882	-1048,7554776	-1,1814002658
3	-39,415316718	0,627595	3,62882	-1048,7554776	-1,1814002658
3,5	-39,415316718	0,67033	3,63248	-1048,7554776	-1,1814002658
4	-39,350113696	0,65812	3,61783	-1047,30261014	-1,18303915985
4,5	-39,415316718	0,638584	3,63858	-1048,7554776	-1,1814002658
5	-39,415316718	0,666667	3,63248	-1048,7554776	-1,1814002658
5,5	-39,415316718	0,642247	3,63492	-1048,7554776	-1,1814002658
6	-39,350113696	0,669109	3,62882	-1047,30261014	-1,18303915985
6,5	-39,415316718	0,661783	3,61905	-1048,7554776	-1,1814002658
7	-39,350113696	0,64591	3,5873	-1047,30261014	-1,18303915985
7,5	-39,415316718	0,641026	3,60073	-1048,7554776	-1,1814002658
8	-39,415316718	0,652015	3,62759	-1048,7554776	-1,1814002658
8,5	-39,415316718	0,6337	3,60317	-1048,7554776	-1,1814002658
9	-39,350113696	0,656899	3,64469	-1047,30261014	-1,18303915985
9,5	-39,415316718	0,695971	3,64225	-1048,7554776	-1,1814002658
10	-39,415316718	0,67033	3,64957	-1048,7554776	-1,1814002658
10,5	-39,415316718	0,656899	3,62271	-1048,7554776	-1,1814002658
11	-39,350113696	0,666667	3,64347	-1047,30261014	-1,18303915985
11,5	-39,415316718	0,636142	3,64835	-1048,7554776	-1,1814002658
12	-39,415316718	0,675214	3,6105	-1048,7554776	-1,1814002658
12,5	-39,415316718	0,638584	3,59219	-1048,7554776	-1,1814002658
13	-39,350113696	0,615385	3,59585	-1047,30261014	-1,18303915985
13,5	-39,415316718	0,688645	3,62759	-1048,7554776	-1,1814002658
14	-39,350113696	0,638584	3,60806	-1047,30261014	-1,18303915985
14,5	-39,415316718	0,649573	3,65079	-1048,7554776	-1,1814002658
15	-39,350113696	0,660562	3,63492	-1047,30261014	-1,18303915985
15,5	-39,48051974	0,655678	3,6337	-1050,20698687	-1,17976743203
16	-39,350113696	0,637363	3,6398	-1047,30261014	-1,18303915985
16,5	-39,415316718	0,652015	3,62393	-1048,7554776	-1,1814002658
17	-39,415316718	0,6337	3,64591	-1048,7554776	-1,1814002658
17,5	-39,415316718	0,625153	3,59585	-1048,7554776	-1,1814002658
18	-39,415316718	0,617827	3,6044	-1048,7554776	-1,1814002658
18,5	-39,415316718	0,620269	3,6044	-1048,7554776	-1,1814002658
19	-39,350113696	0,636142	3,61538	-1047,30261014	-1,18303915985
19,5	-39,415316718	0,680098	3,61538	-1048,7554776	-1,1814002658
20	-39,350113696	0,636142	3,62271	-1047,30261014	-1,18303915985
20,5	-39,415316718	0,647131	3,61416	-1048,7554776	-1,1814002658
21	-39,350113696	0,598291	3,62149	-1047,30261014	-1,18303915985
21,5	-39,415316718	0,628816	3,60806	-1048,7554776	-1,1814002658
22	-39,415316718	0,627595	3,61905	-1048,7554776	-1,1814002658
22,5	-39,415316718	0,60928	3,62515	-1048,7554776	-1,1814002658
23	-39,350113696	0,648352	3,59829	-1047,30261014	-1,18303915985
23,5	-39,415316718	0,62149	3,59829	-1048,7554776	-1,1814002658
