Vernier Format 2
Bandlücke-Si_Lampenleistung.cmbl 07.09.2016 14:40:14 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	69,0848643182	0,103785	0,031746	1542,9138556	0,803026037714
0,5	69,0196078511	0,0989011	0,03663	1542,24128055	0,803376239259
1	69,0196078511	0,0866911	0,023199	1542,24128055	0,803376239259
1,5	68,4975561143	0,0818071	0,00854701	1536,78873339	0,806226628997
2	68,2365302459	0,105006	0,015873	1534,01458746	0,807684627077
2,5	67,9755043775	0,140415	0,015873	1531,20860317	0,809164732639
3	67,4534526407	0,126984	0,02442	1525,50135316	0,812192003261
3,5	67,1924267723	0,101343	0,02442	1522,60020589	0,813739545818
4	66,9314009039	0,0744811	0,026862	1519,66745717	0,815309950975
4,5	66,4093491671	0,1221	0,019536	1513,70739952	0,818520144908
5	66,1483232987	0,152625	0,00854701	1510,68021429	0,820160341205
5,5	65,5610150948	0,135531	0,040293	1503,75450605	0,823937680663
6	65,2999892264	0,113553	0,029304	1500,62565325	0,825655617254
6,5	64,7779374896	0,108669	0,013431	1494,27457713	0,829164879708
7	64,5169116212	0,0830281	0,01221	1491,05248564	0,830956664461
7,5	63,9948598844	0,150183	0,013431	1484,51553013	0,834615721329
8	63,733834016	0,141636	0,013431	1481,20080179	0,83648347915
8,5	63,2117822792	0,119658	0,00732601	1474,47918793	0,840296702822
9	62,6897305424	0,130647	0,00976801	1467,63516392	0,844215258984
9,5	62,3634482069	0,156288	0,013431	1463,29573954	0,846718791369
10	61,8413964701	0,125763	0,01221	1456,25401534	0,850813104682
10,5	61,5803706017	0,161172	0,032967	1452,6877799	0,852901784642
11	61,0583188649	0,117216	0,020757	1445,46493238	0,857163651808
11,5	60,7972929965	0,102564	0,02442	1441,80847022	0,859337440157
12	60,2752412597	0,120879	0,020757	1434,40584856	0,863772272849
12,5	59,81844599	0,114774	0,015873	1427,83084784	0,867749847174
13	59,4921636545	0,142857	0,031746	1423,07882963	0,870647482208
13,5	58,9048554506	0,115995	0,025641	1414,40900392	0,87598424258
14	58,7090860493	0,111111	0,010989	1411,48599138	0,877798297375
14,5	58,1217778454	0,129426	0,010989	1402,61821956	0,883348000706
15	57,860751977	0,157509	0,00976801	1398,62962627	0,885867120735
15,5	57,3387002402	0,113553	0,015873	1390,56543774	0,891004455
16	57,0124179047	0,101343	0,013431	1385,46665326	0,894283523232
16,5	56,4903661679	0,15873	0,020757	1377,21521295	0,899641529044
17	55,9683144311	0,123321	0,018315	1368,84943726	0,905139722658
17,5	55,7072885627	0,139194	0,028083	1364,62389031	0,907942480557
18	55,1852368259	0,128205	0,00732601	1356,08791673	0,913657576852
18,5	54,9242109575	0,136752	0,014652	1351,77766726	0,916570845939
19	54,4021592207	0,151404	0,021978	1343,07309023	0,922511223707
19,5	54,0106204181	0,18315	0,025641	1336,47144512	0,927068067579
20	53,6190816155	0,147741	0,035409	1329,80738883	0,931713878574
20,5	53,0317734116	0,17094	0,021978	1319,69496499	0,938853320557
21	52,7707475432	0,159951	0,028083	1315,155982	0,94209357442
21,5	52,2486958064	0,157509	0,00976801	1305,99622292	0,948701059206
22	51,9876164929	0,161172	0,00976801	1301,3746881	0,952070154222
22,5	51,4655647561	0,169719	0,025641	1292,05257173	0,958939308746
23	51,2045388877	0,188034	0,029304	1287,35124036	0,962441298965
23,5	50,6824871509	0,124542	0,021978	1277,86851914	0,969583318974
24	50,4214612825	0,108669	0,018315	1273,0873261	0,973224675639
24,5	49,8341530786	0,178266	0,00976801	1262,23318535	0,981593586969
