Vernier Format 2
Bandlücke-Si.cmbl 07.09.2016 11:43:13 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	69,041449082	0,00610501	0,0866911	1542,46661308	0,803258877365
0,5	68,975711609	0,00610501	0,0830281	1541,78773216	0,80361256881
1	69,041449082	0,00732601	0,0634921	1542,46661308	0,803258877365
1,5	68,975711609	0,00976801	0,0708181	1541,78773216	0,80361256881
2	68,975711609	0,010989	0,0683761	1541,78773216	0,80361256881
2,5	68,714899521	0,00854701	0,0769231	1539,07429481	0,805029363544
3	68,454087433	0,00976801	0,0830281	1536,3289664	0,806467903096
3,5	68,192740894	0,00854701	0,0744811	1533,54608026	0,8079313794
4	67,670582267	0,010989	0,0964591	1527,89049972	0,81092198703
4,5	67,409770179	0,00610501	0,0818071	1525,01805288	0,812449398656
5	67,148958091	0,00610501	0,0830281	1522,11400623	0,813999473714
5,5	66,626799464	0,00976801	0,0866911	1516,20524253	0,817171689718
6	66,365452925	0,015873	0,0842491	1513,20051903	0,818794326604
6,5	65,778625727	0,00488401	0,0793651	1506,33909843	0,822523959773
7	65,517279188	0,00610501	0,0757021	1503,23242935	0,824223836453
7,5	65,2564671	0,00732601	0,0854701	1500,10093303	0,825944423282
8	64,734308473	0,042735	0,0891331	1493,73817938	0,829462630803
8,5	64,473496385	0,00488401	0,0781441	1490,51356645	0,831257110227
9	63,951337758	0,00976801	0,0854701	1483,96498768	0,834925358947
9,5	63,624788197	0,00732601	0,0915751	1479,80693731	0,837271382343
10	63,10262957	0,00732601	0,105006	1473,05831402	0,84110723127
10,5	62,841817482	0,00488401	0,0793651	1469,64160494	0,843062686737
11	62,581005394	0,00488401	0,0805861	1466,19444351	0,845044806631
11,5	62,058846767	0,00610501	0,0695971	1459,20183065	0,8490943295
12	61,797500228	0,025641	0,0866911	1455,65640007	0,851162403397
12,5	61,275876052	0,014652	0,102564	1448,48956397	0,855373784403
13	61,014529513	0,00488401	0,0720391	1444,85362138	0,857526313855
13,5	60,688514403	0,00976801	0,0610501	1440,2758566	0,860251870722
14	60,231558798	0,010989	0,0757021	1433,78102969	0,864148691007
14,5	59,905543688	0,010989	0,100122	1429,09152642	0,86698435831
15	59,383385061	0,00732601	0,0866911	1421,48429884	0,871624119248
15,5	59,122038522	0,00610501	0,0927961	1417,63241949	0,873992427775
16	58,861226434	0,015873	0,0927961	1413,75901236	0,876386986159
16,5	58,273864785	0,00610501	0,0903541	1404,92875983	0,881895250083
17	58,078255719	0,00610501	0,0830281	1401,95520183	0,883765756836
17,5	57,49089407	0,00610501	0,0757021	1392,92834381	0,889492991875
18	57,229547531	0,00610501	0,0805861	1388,86472969	0,892095517667
18,5	56,707923355	0,00854701	0,106227	1380,66781135	0,89739181997
19	56,446576816	0,00610501	0,0854701	1376,51788065	0,900097279823
19,5	55,924418189	0,00732601	0,0659341	1368,14081952	0,905608532634
20	55,663606101	0,026862	0,0866911	1363,91397968	0,90841506023
20,5	55,402794013	0,013431	0,101343	1359,65887827	0,911257977869
21	54,880635386	0,00610501	0,0927961	1351,05538044	0,917060853269
21,5	54,554085825	0,010989	0,0659341	1345,61781643	0,920766643302
22	54,032461649	0,00732601	0,0793651	1336,84135156	0,926811546149
22,5	53,77111511	0,00610501	0,0915751	1332,40241672	0,929899243992
23	53,248956483	0,00610501	0,0903541	1323,45069317	0,936189014362
23,5	52,988144395	0,00610501	0,0708181	1318,93820323	0,939392002571
24	52,465985768	0,031746	0,0854701	1309,82194188	0,945930099643
24,5	52,139970658	0,01221	0,0781441	1304,07489778	0,950098803455
